기간	구분	일반가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	평균가구원수
기간	구분	일반가구수	1인	2인	3인	4인	5인	6인	7인 이상	평균가구원수
2000	합계	3,085,936	502,245	524,663	670,538	989,621	312,946	63,668	22,255	3.1
2000	종로구	56,284	12,784	10,593	11,384	14,259	5,447	1,286	531	2.9
2000	중구	44,461	10,353	8,562	9,119	11,116	4,173	839	299	2.9
2000	용산구	74,981	15,233	14,824	16,127	19,781	6,969	1,458	589	2.9
2000	성동구	102,285	17,205	18,657	22,370	30,598	10,238	2,364	853	3.1
2000	광진구	122,206	22,711	21,408	25,806	37,383	11,661	2,391	846	3
2000	동대문구	121,650	26,498	22,167	24,623	33,254	11,659	2,509	940	2.9
2000	중랑구	134,969	19,115	21,973	30,301	45,588	13,746	3,197	1,049	3.2
2000	성북구	143,756	24,576	24,527	31,107	43,095	15,693	3,460	1,298	3.1
2000	강북구	103,674	14,049	17,603	23,955	32,885	11,579	2,633	970	3.2
2000	도봉구	103,822	10,826	15,931	23,958	38,782	11,089	2,457	779	3.3
2000	노원구	179,842	17,621	29,014	43,030	67,409	18,204	3,510	1,054	3.3
2000	은평구	133,971	17,824	22,639	30,816	43,981	14,221	3,279	1,211	3.2
2000	서대문구	110,057	18,698	20,320	24,400	32,223	10,903	2,555	958	3.1
2000	마포구	120,632	23,754	23,293	26,085	33,044	10,895	2,603	958	3
2000	양천구	136,316	16,426	19,616	29,828	51,935	14,966	2,697	848	3.3
2000	강서구	154,489	21,158	25,538	34,789	52,921	15,922	3,118	1,043	3.2
2000	구로구	122,794	21,274	19,460	25,765	40,133	12,901	2,370	891	3.1
2000	금천구	85,649	16,706	13,666	17,763	27,189	8,122	1,672	531	3
2000	영등포구	124,302	22,704	22,090	26,213	37,955	11,999	2,478	863	3
2000	동작구	126,663	21,833	22,640	27,144	37,956	13,216	2,831	1,043	3.1
2000	관악구	159,048	29,256	28,517	33,773	46,794	15,853	3,549	1,306	3
2000	서초구	116,250	20,204	19,924	24,621	36,970	12,139	1,795	597	3.1
2000	강남구	171,076	34,667	29,229	34,768	53,240	16,268	2,188	716	3
2000	송파구	193,043	26,606	30,884	41,812	68,738	20,311	3,566	1,126	3.2
2000	강동구	143,716	20,164	21,588	30,981	52,392	14,772	2,863	956	3.2
2005	합계	3,309,890	675,739	670,455	732,043	917,243	248,450	49,781	16,179	2.9
2005	종로구	54,534	14,592	11,641	10,624	12,373	4,087	905	312	2.7
2005	중구	46,625	13,128	9,833	9,270	9,961	3,538	627	268	2.7
2005	용산구	76,125	18,218	18,032	16,187	17,302	4,902	1,088	396	2.7
2005	성동구	111,485	23,161	24,104	24,784	28,823	8,263	1,756	594	2.8
2005	광진구	125,845	27,975	26,349	26,617	33,676	8,877	1,772	579	2.8
2005	동대문구	131,213	32,710	27,114	26,816	31,631	10,078	2,140	724	2.8
2005	중랑구	137,907	25,622	27,876	31,417	39,299	10,646	2,344	703	2.9
2005	성북구	146,894	28,278	30,470	33,140	39,923	11,541	2,683	859	2.9
2005	강북구	112,719	19,661	23,947	26,804	30,732	8,733	2,073	769	3
2005	도봉구	116,492	15,890	22,224	28,227	37,951	9,575	1,972	653	3.1
2005	노원구	191,342	25,701	36,951	46,455	63,524	15,091	2,827	793	3.1
2005	은평구	145,477	23,461	30,238	35,247	41,328	11,595	2,636	972	3
2005	서대문구	117,866	26,764	25,469	25,293	29,296	8,394	1,941	709	2.8
2005	마포구	135,042	34,262	30,249	28,207	30,947	8,756	1,963	658	2.7
2005	양천구	148,261	20,344	25,960	34,842	51,480	12,720	2,263	652	3.1
2005	강서구	178,045	31,163	35,534	41,570	52,590	13,674	2,690	824	3
2005	구로구	132,705	23,406	26,124	30,326	39,037	10,917	2,203	692	3
